sign,0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,11_0,11_1,11_2,12_0,12_1,12_2,13_0,13_1,13_2,14_0,14_1,14_2,15_0,15_1,15_2,16_0,16_1,16_2,17_0,17_1,17_2,18_0,18_1,18_2,19_0,19_1,19_2,20_0,20_1,20_2,source
16,0,0,0,-0.2213,0.1665,-0.0757,-0.3212,0.6067,-0.1091,-0.2931,0.9656,-0.1378,-0.2394,1.2605,-0.1458,-0.2512,0.9864,0.1312,-0.2049,1.4531,-0.0424,-0.243,1.4405,-0.2084,-0.2669,1.2935,-0.2829,-0.0626,0.9865,0.1127,-0.0825,1.2395,-0.1769,-0.0985,0.8448,-0.2481,-0.0789,0.6919,-0.1329,0.1446,0.9296,0.0414,0.0802,1.1022,-0.2479,0.0401,0.7027,-0.2573,0.0688,0.5953,-0.1354,0.3502,0.837,-0.0414,0.2173,0.9462,-0.2027,0.1613,0.6694,-0.2119,0.21,0.6038,-0.1257,7
16,0,0,0,-0.3037,0.1186,-0.0991,-0.4222,0.4266,-0.1455,-0.4423,0.7207,-0.1723,-0.4143,0.9721,-0.1617,-0.3621,0.9148,0.0412,-0.382,1.2404,-0.1727,-0.2955,1.1199,-0.3622,-0.2189,0.9121,-0.4488,-0.1674,0.9658,0.0848,-0.0441,0.8691,-0.3693,0.0526,0.5588,-0.4711,0.0896,0.4199,-0.4266,0.0676,0.9178,0.044,0.1833,0.7035,-0.4449,0.2254,0.4383,-0.4562,0.2109,0.3587,-0.3418,0.3153,0.8279,-0.044,0.3762,0.563,-0.4428,0.3919,0.373,-0.4447,0.3827,0.3247,-0.3423,7
17,0,0,0,-0.2621,0.0789,-0.2469,-0.365,0.364,-0.3685,-0.4221,0.5974,-0.521,-0.4104,0.7673,-0.6779,-0.3435,0.955,-0.0153,-0.4469,1.2382,-0.1814,-0.5189,1.5468,-0.2267,-0.5357,1.8165,-0.3101,-0.13,0.9923,0.0517,-0.1678,1.0332,-0.4435,-0.1532,1.0292,-0.7347,-0.1506,0.967,-0.9831,0.067,0.9294,0.0404,-0.0845,0.9119,-0.4556,-0.1775,0.8165,-0.7205,-0.2085,0.7231,-0.9767,0.2679,0.8143,-0.0404,0.1092,0.8106,-0.455,-0.0323,0.7129,-0.6437,-0.1413,0.6339,-0.8248,7
17,0,0,0,-0.1473,0.1463,-0.3162,-0.1091,0.3918,-0.4494,-0.025,0.6167,-0.5725,0.1266,0.803,-0.6958,-0.3072,0.9739,-0.1477,-0.3746,1.3793,-0.2878,-0.4118,1.6996,-0.3598,-0.4322,1.9822,-0.4263,-0.1451,0.9888,-0.0214,0.1229,1.0484,-0.4906,0.3888,0.9752,-0.7371,0.646,0.9071,-0.939,0.0508,0.9292,0.012,0.1796,0.944,-0.4997,0.3335,0.8303,-0.7648,0.5164,0.7632,-0.9685,0.283,0.8271,-0.012,0.3111,0.8908,-0.4043,0.345,0.8047,-0.6065,0.3912,0.7384,-0.7944,7
19,0,0,0,-0.2322,0.3269,-0.0573,-0.3135,0.7196,-0.0894,-0.2075,1.0857,-0.1003,-0.0258,1.2808,-0.1128,-0.2122,1.0175,0.0853,-0.1464,1.4665,-0.056,-0.0764,1.4961,-0.1779,-0.0429,1.3725,-0.2201,-0.0187,0.9961,0.0685,0.0904,1.3491,-0.0851,0.071,1.0598,-0.2528,0.0212,0.7652,-0.3389,0.1704,0.9253,0.0256,0.2736,1.1835,-0.1623,0.1983,0.8508,-0.299,0.112,0.5662,-0.3263,0.3665,0.8115,-0.0256,0.4477,1.1178,-0.1481,0.3456,0.8742,-0.2355,0.2501,0.6233,-0.2533,7
19,0,0,0,-0.3279,0.3089,-0.0249,-0.4065,0.6788,-0.0562,-0.3326,0.946,-0.1,-0.2558,1.1726,-0.1432,-0.3,0.9826,0.1246,-0.3065,1.2503,-0.0931,-0.3358,1.07,-0.1979,-0.3457,0.8475,-0.2134,-0.0901,0.9872,0.0985,-0.1562,1.1004,-0.1721,-0.1472,0.7481,-0.2519,-0.1221,0.5548,-0.2022,0.1264,0.9583,0.0336,0.0349,1.0291,-0.2225,0.0265,0.6968,-0.2618,0.0585,0.5028,-0.2012,0.3293,0.8804,-0.0336,0.1917,0.9722,-0.1956,0.1568,0.7508,-0.226,0.1749,0.5856,-0.177,7
20,0,0,0,-0.1883,0.1902,-0.1657,-0.2115,0.5724,-0.275,-0.1318,0.8547,-0.3866,-0.0059,0.9482,-0.4283,-0.1977,1.0037,-0.1317,-0.0123,1.298,-0.4031,0.0335,1.2089,-0.4514,0.0551,1.1357,-0.437,-0.0242,0.995,-0.0682,0.1216,1.5629,-0.3844,0.1888,1.8971,-0.609,0.2399,2.1795,-0.7483,0.1585,0.873,-0.0255,0.3216,1.1394,-0.3509,0.2728,0.9113,-0.3813,0.2147,0.7384,-0.3003,0.3441,0.7314,0.0255,0.4389,0.9028,-0.2698,0.3579,0.7196,-0.3047,0.2951,0.5629,-0.2524,7
20,0,0,0,-0.2075,0.2499,-0.2267,-0.2182,0.622,-0.3281,-0.117,0.8975,-0.4177,0.0311,0.982,-0.4618,-0.2104,0.9854,-0.1217,-0.025,1.1965,-0.3473,0.0186,1.1107,-0.4164,0.0236,1.0239,-0.397,-0.0175,0.9977,-0.0506,0.1651,1.4433,-0.2611,0.2721,1.7396,-0.4127,0.3505,1.9767,-0.4983,0.1849,0.9217,-0.0212,0.353,1.1512,-0.3095,0.2891,0.9564,-0.37,0.2115,0.8096,-0.3181,0.3895,0.8113,0.0212,0.4959,0.9625,-0.2457,0.4238,0.7877,-0.2885,0.3545,0.6394,-0.2493,7
20,0,0,0,-0.2179,0.1081,-0.172,-0.394,0.6014,-0.2536,-0.2886,1.0511,-0.2961,-0.0163,1.1521,-0.3026,-0.2294,0.9284,0.0977,-0.1891,1.2617,-0.0989,-0.1822,1.0249,-0.1813,-0.1767,0.8139,-0.1365,-0.0276,0.9927,0.0923,0.0456,1.6111,-0.0072,0.0713,1.993,-0.012,0.1118,2.349,0.0401,0.1845,0.9314,0.0374,0.2505,1.3034,-0.1846,0.1504,0.9395,-0.2034,0.104,0.6804,-0.1201,0.4114,0.8174,-0.0374,0.4647,1.1334,-0.1728,0.3711,0.9215,-0.2063,0.3162,0.735,-0.1643,7
20,0,0,0,-0.2929,0.1343,-0.1429,-0.4292,0.5183,-0.2544,-0.3843,0.8092,-0.3762,-0.2622,0.8532,-0.3857,-0.222,0.9882,0.0058,-0.2223,1.2644,-0.2796,-0.2101,1.0234,-0.3906,-0.1983,0.8291,-0.3793,-0.0002,0.9999,0.0116,-0.0059,1.5565,-0.2709,0.0046,1.9147,-0.4731,0.0221,2.1987,-0.5484,0.1943,0.8741,0.0032,0.1187,1.0743,-0.3259,0.0681,0.8753,-0.3678,0.0577,0.7369,-0.2478,0.3371,0.7228,-0.0032,0.2573,0.8526,-0.2754,0.2085,0.6974,-0.2836,0.2054,0.5706,-0.1852,7
21,0,0,0,-0.1536,0.2961,-0.1223,-0.1976,0.6227,-0.2177,-0.0761,0.8493,-0.2858,0.065,1.0473,-0.3315,-0.3207,1.0241,0.0378,-0.279,1.3131,-0.1746,-0.1359,1.3266,-0.3622,-0.0137,1.3036,-0.4803,-0.1425,0.9603,0.0929,-0.0925,1.2074,-0.1246,-0.0361,1.1549,-0.3157,0.0241,1.104,-0.4291,0.0653,0.8524,0.0499,0.1519,0.9739,-0.2193,0.1728,0.8215,-0.365,0.1874,0.7131,-0.4209,0.274,0.74,-0.0499,0.3104,0.7906,-0.2496,0.3073,0.7077,-0.3353,0.3095,0.6551,-0.3566,7
21,0,0,0,-0.1469,0.2132,-0.2403,-0.2148,0.4925,-0.4308,-0.1075,0.7127,-0.5511,0.0675,0.9441,-0.5122,-0.2281,0.965,0.0508,-0.2246,1.2923,-0.2418,-0.2325,1.3338,-0.5811,-0.2187,1.2994,-0.8285,-0.0245,0.9813,0.1511,0.0555,1.1812,-0.337,0.0021,1.066,-0.6565,-0.0249,1.0064,-0.788,0.1883,0.9043,0.0831,0.2753,0.8971,-0.5347,0.1386,0.7064,-0.7279,0.0413,0.6133,-0.7031,0.3632,0.7786,-0.0831,0.3916,0.7013,-0.5659,0.2685,0.5971,-0.7057,0.1991,0.5604,-0.6984,7
21,0,0,0,-0.1727,0.1156,-0.1689,-0.232,0.5308,-0.2012,-0.1009,0.9472,-0.199,0.0497,1.2654,-0.1886,-0.2142,0.8511,0.0377,-0.2061,1.2048,-0.2501,-0.1341,1.0546,-0.5078,-0.0841,0.8528,-0.633,-0.0038,0.9958,0.0586,0.0396,1.4955,-0.1813,0.0497,1.3202,-0.4198,0.0316,1.0825,-0.5334,0.2167,1.0645,0.0258,0.2888,1.4568,-0.2283,0.2073,1.0614,-0.4737,0.1324,0.7334,-0.5486,0.4375,1.0652,-0.0258,0.452,1.2359,-0.2646,0.3448,0.9278,-0.4396,0.2688,0.7033,-0.489,7
21,0,0,0,-0.22,0.1417,-0.0558,-0.2791,0.5888,-0.0974,-0.135,0.969,-0.1253,0.0455,1.2641,-0.1199,-0.231,0.8961,0.1482,-0.2182,1.1786,-0.1346,-0.2193,0.96,-0.3203,-0.2124,0.6872,-0.3806,-0.0484,0.9863,0.1115,-0.055,1.3693,-0.1256,-0.1234,1.1042,-0.2651,-0.1622,0.8431,-0.2859,0.1681,1.0236,0.038,0.1432,1.3,-0.2257,0.0895,0.8925,-0.3385,0.0704,0.5883,-0.3334,0.3923,1.0122,-0.038,0.2738,1.0965,-0.2422,0.2047,0.7946,-0.2925,0.2021,0.5763,-0.2674,7
22,0,0,0,-0.1816,0.2868,-0.2558,-0.2112,0.5123,-0.4204,-0.0863,0.5631,-0.6471,0.0504,0.6509,-0.7726,-0.1443,1.0573,-0.0043,-0.0549,1.5555,0.0574,0.0338,1.8399,0.0046,0.1259,2.0702,-0.0314,0.0008,0.9958,0.0714,0.1528,1.0903,-0.3346,0.2193,0.8716,-0.6699,0.2513,0.7191,-0.8501,0.1369,0.85,0.0473,0.2596,0.7485,-0.5062,0.2428,0.5311,-0.811,0.1982,0.3492,-0.9594,0.2449,0.6699,-0.0473,0.3343,0.5387,-0.4497,0.3121,0.3707,-0.6879,0.2679,0.2177,-0.8066,7
22,0,0,0,-0.2375,0.2348,-0.1778,-0.3156,0.6004,-0.3622,-0.2428,0.8403,-0.4982,-0.1309,1.01,-0.5342,-0.277,1.0699,-0.1846,-0.3797,1.5201,-0.5283,-0.4146,1.7238,-0.7456,-0.4374,1.8736,-0.9111,-0.0881,0.9695,-0.1006,-0.077,1.2471,-0.4846,-0.0719,1.047,-0.5463,-0.0914,0.9236,-0.527,0.1105,0.8454,-0.0301,0.0851,1.0324,-0.4756,0.0378,0.7775,-0.5298,0.0074,0.6267,-0.4634,0.2915,0.751,0.0301,0.2067,0.8722,-0.3598,0.1519,0.722,-0.4061,0.1226,0.6242,-0.3645,7
23,0,0,0,-0.2146,0.1914,-0.2487,-0.2664,0.5517,-0.3228,0.045,0.8665,-0.3359,0.3239,1.0019,-0.3162,-0.237,0.9471,0.0199,-0.1784,1.4198,-0.0311,-0.107,1.7414,-0.0823,-0.0425,2.0022,-0.1174,-0.0037,0.9987,0.049,0.0607,1.4956,0.0271,0.125,1.8518,-0.0367,0.1798,2.1153,-0.0592,0.2108,0.9661,0.034,0.2994,1.4304,0.0004,0.3499,1.7569,-0.0841,0.3964,2.0195,-0.1063,0.42,0.8523,-0.034,0.5007,1.229,-0.086,0.5364,1.4877,-0.1268,0.5619,1.7226,-0.1189,7
23,0,0,0,-0.2504,0.2084,-0.2957,-0.3028,0.5877,-0.3378,0.0014,0.8609,-0.345,0.3106,1.0144,-0.3246,-0.2516,0.9478,-0.0205,-0.2119,1.393,-0.0894,-0.1605,1.7278,-0.1158,-0.1067,2.035,-0.1343,0.0033,0.9986,0.0467,0.0411,1.3885,-0.0235,0.0832,1.7308,-0.0251,0.1176,2.0469,0.0249,0.2288,0.9749,0.0404,0.3038,1.3664,-0.0133,0.3409,1.6885,0.0024,0.3759,1.9798,0.0732,0.432,0.8795,-0.0404,0.5112,1.2529,-0.0612,0.5599,1.5103,-0.0235,0.597,1.7615,0.0818,7
23,0,0,0,-0.2158,0.1918,-0.1966,-0.2438,0.5819,-0.3023,-0.158,0.8615,-0.3215,0.0709,0.9142,-0.2528,-0.3303,0.9864,0.0186,-0.4249,1.4049,-0.1187,-0.4946,1.7539,-0.1921,-0.5321,2.0536,-0.2283,-0.137,0.9883,0.0347,-0.2091,1.4683,-0.1322,-0.2665,1.8604,-0.2365,-0.311,2.2014,-0.296,0.0641,0.9201,0.0239,-0.0396,1.4138,-0.1346,-0.1443,1.7614,-0.2262,-0.1969,2.0631,-0.2772,0.2718,0.8063,-0.0239,0.2067,1.2205,-0.1326,0.1317,1.4707,-0.2146,0.0874,1.6939,-0.2791,7
