sign,0_0,0_1,0_2,1_0,1_1,1_2,2_0,2_1,2_2,3_0,3_1,3_2,4_0,4_1,4_2,5_0,5_1,5_2,6_0,6_1,6_2,7_0,7_1,7_2,8_0,8_1,8_2,9_0,9_1,9_2,10_0,10_1,10_2,11_0,11_1,11_2,12_0,12_1,12_2,13_0,13_1,13_2,14_0,14_1,14_2,15_0,15_1,15_2,16_0,16_1,16_2,17_0,17_1,17_2,18_0,18_1,18_2,19_0,19_1,19_2,20_0,20_1,20_2,source
9,0,0,0,-0.1808,0.2611,-0.181,-0.3008,0.7603,-0.2349,-0.1859,1.1058,-0.2352,0.0305,1.1716,-0.1954,-0.1913,1.0893,0.069,-0.1623,1.4031,-0.1348,-0.1817,1.1085,-0.2805,-0.1581,0.9979,-0.3183,-0.009,0.9906,0.0818,0.0498,1.3151,-0.1257,-0.0292,0.9466,-0.211,-0.0314,0.8792,-0.1476,0.1698,0.8344,0.0338,0.2199,1.0687,-0.1913,0.1001,0.7095,-0.1837,0.0786,0.6561,-0.0538,0.353,0.6382,-0.0338,0.3418,0.824,-0.1465,0.2405,0.5793,-0.1201,0.2254,0.5093,-0.0238,3
9,0,0,0,-0.1817,0.2658,-0.187,-0.3054,0.7456,-0.2464,-0.1801,1.073,-0.2459,0.05,1.0944,-0.2147,-0.1923,1.0875,0.065,-0.1655,1.3698,-0.135,-0.1756,1.1211,-0.2844,-0.1453,1.0312,-0.3303,-0.0087,0.9911,0.0804,0.0466,1.2848,-0.1275,-0.0285,0.9492,-0.224,-0.0307,0.9007,-0.1719,0.17,0.8368,0.0347,0.2307,1.0492,-0.1813,0.1074,0.7106,-0.1889,0.0752,0.6681,-0.0744,0.3497,0.6431,-0.0347,0.3493,0.7979,-0.1449,0.2432,0.5751,-0.1335,0.2165,0.5276,-0.0519,3
13,0,0,0,-0.0046,0.3598,-0.2785,0.0299,0.76,-0.5006,0.0975,1.0439,-0.6595,0.182,1.2703,-0.7921,-0.1205,1.0584,-0.2186,-0.2059,1.5552,-0.2099,-0.195,1.8452,-0.3176,-0.1793,2.0603,-0.4267,-0.0617,0.9843,-0.0925,0.1129,1.4139,-0.3019,0.3157,1.5718,-0.5611,0.4725,1.6311,-0.7595,0.0636,0.8281,-0.0198,0.4059,1.07,-0.3223,0.6168,1.0049,-0.5259,0.7219,0.9047,-0.6403,0.2212,0.6342,0.0198,0.4887,0.8062,-0.2452,0.6238,0.7932,-0.4213,0.6869,0.7615,-0.5344,3
13,0,0,0,0.0118,0.2939,-0.5626,-0.0436,0.6812,-0.6473,-0.0715,1,-0.627,-0.0817,1.2793,-0.6729,-0.122,1.038,-0.1479,-0.0789,1.4652,-0.0848,-0.0631,1.7615,-0.0356,-0.0645,2.0076,-0.0089,-0.0708,0.9939,-0.0071,0.0668,1.2205,-0.6416,0.1224,1.3241,-1.0767,0.1384,1.4215,-1.3896,0.0126,0.8624,0.0238,0.2243,0.8937,-0.7398,0.2672,0.6536,-0.791,0.2505,0.4783,-0.6948,0.1169,0.6887,-0.0238,0.2798,0.6879,-0.6302,0.3057,0.5226,-0.6664,0.2859,0.4007,-0.5592,3
14,0,0,0,-0.4388,0.1351,0.0304,-0.7671,0.3926,0.0539,-0.9931,0.6061,0.0725,-0.9369,0.8506,0.1201,-0.2703,1.0157,0.031,-0.1167,1.3259,0.0192,-0.1161,1.4099,0.0575,-0.121,1.4466,0.0986,-0.0033,0.9991,0.03,0.0339,1.1685,-0.0362,-0.0273,1.0859,-0.0021,-0.0578,0.9733,0.063,0.1994,0.8904,0.0106,0.18,1.0226,-0.0506,0.1154,0.93,-0.053,0.0602,0.8036,-0.0189,0.326,0.7652,-0.0106,0.2898,0.8753,-0.0619,0.2434,0.7823,-0.123,0.213,0.6551,-0.1525,3
14,0,0,0,-0.2877,0.2369,-0.1561,-0.5084,0.6028,-0.3192,-0.5463,0.943,-0.508,-0.4184,1.2586,-0.6622,-0.3401,0.9929,-0.1854,-0.1063,1.7027,-0.5222,0.0447,2.1318,-0.6967,0.1975,2.442,-0.8466,-0.0599,0.9762,-0.0894,0.1355,1.7005,-0.5512,0.0602,1.6135,-0.4641,-0.0194,1.4409,-0.2667,0.1583,0.954,-0.024,0.2929,1.5798,-0.4755,0.2122,1.3776,-0.4549,0.1313,1.1522,-0.3328,0.325,0.9529,0.024,0.4153,1.4081,-0.3323,0.336,1.2089,-0.3159,0.2642,1.0008,-0.2321,3
16,0,0,0,-0.2441,0.0307,-0.0935,-0.4352,0.4296,-0.0843,-0.4499,0.7853,-0.0632,-0.4553,1.0244,-0.0481,-0.2699,0.9405,0.1005,-0.2985,1.2968,-0.0424,-0.4456,1.2769,-0.1708,-0.567,1.115,-0.2462,-0.028,0.9884,0.0988,-0.2825,1.0267,-0.1391,-0.3611,0.6764,-0.2048,-0.3247,0.4645,-0.1662,0.195,0.927,0.0429,-0.0994,0.8612,-0.2464,-0.1549,0.473,-0.2248,-0.1064,0.2716,-0.1181,0.3743,0.7869,-0.0429,0.1077,0.6844,-0.2607,0.0619,0.405,-0.2401,0.1318,0.2766,-0.1425,3
16,0,0,0,-0.2625,0.0403,-0.0994,-0.4415,0.4417,-0.0948,-0.4231,0.8058,-0.074,-0.4062,1.0539,-0.0603,-0.2693,0.9445,0.0948,-0.2984,1.3164,-0.0471,-0.4403,1.3071,-0.1752,-0.5581,1.1338,-0.253,-0.0259,0.9895,0.0954,-0.2814,1.0125,-0.1435,-0.3481,0.6726,-0.212,-0.3074,0.454,-0.1832,0.1971,0.9232,0.042,-0.1004,0.8532,-0.2381,-0.1519,0.4874,-0.2175,-0.1147,0.2834,-0.1249,0.3735,0.7857,-0.042,0.1072,0.6784,-0.2566,0.0585,0.4075,-0.2431,0.1124,0.2758,-0.1593,3
17,0,0,0,-0.2012,0.2326,-0.2564,-0.2878,0.5279,-0.3459,-0.07,0.6862,-0.4246,0.1549,0.7743,-0.5217,-0.2403,1.0548,0.0536,-0.1642,1.6109,0.1027,-0.0851,1.9472,0.1222,-0.0107,2.2288,0.1549,-0.0117,0.9926,0.0804,0.1725,1.2536,-0.1442,0.188,1.0321,-0.362,0.1442,0.8368,-0.4668,0.1759,0.8764,0.0452,0.3304,1.0438,-0.1574,0.2795,0.7867,-0.2438,0.1851,0.6015,-0.2493,0.3309,0.7363,-0.0452,0.4553,0.8336,-0.1798,0.3989,0.6653,-0.2275,0.2965,0.5514,-0.2181,3
17,0,0,0,-0.2227,0.2371,-0.2587,-0.336,0.5285,-0.3639,-0.111,0.6939,-0.458,0.1476,0.8044,-0.5617,-0.2527,1.0429,0.0528,-0.1896,1.6075,0.115,-0.1161,1.9572,0.1485,-0.0483,2.248,0.1909,-0.012,0.9918,0.0834,0.1745,1.2231,-0.1705,0.1927,1.0186,-0.3978,0.1573,0.8529,-0.501,0.1816,0.8817,0.046,0.3207,0.9969,-0.1933,0.2704,0.7607,-0.283,0.1857,0.6083,-0.2805,0.3433,0.7534,-0.046,0.4441,0.8217,-0.2035,0.385,0.6618,-0.2586,0.2864,0.5631,-0.2478,3
21,0,0,0,-0.1783,0.3839,-0.1702,-0.2108,0.775,-0.2192,-0.0383,1.003,-0.2577,0.1457,1.0799,-0.3009,-0.228,1.0776,-0.0087,-0.0914,1.4193,-0.2166,0.0714,1.2781,-0.4227,0.1587,1.0463,-0.5377,0.0004,0.9988,0.0298,0.1282,1.4173,-0.1633,0.2508,1.2799,-0.3209,0.2908,1.0441,-0.3908,0.2074,0.8773,0.0206,0.3511,1.0301,-0.2563,0.3301,0.6924,-0.387,0.2352,0.3712,-0.3969,0.3781,0.7095,-0.0206,0.5034,0.8716,-0.1841,0.479,0.6428,-0.2257,0.4038,0.3847,-0.2118,3
21,0,0,0,-0.0625,0.4114,-0.1765,0.0138,0.7932,-0.3014,0.2052,1.017,-0.4232,0.3948,1.0704,-0.4682,-0.1549,1.1,-0.1895,0.2108,1.3857,-0.4185,0.3688,1.241,-0.3784,0.3634,1.1541,-0.2724,-0.0402,0.9847,-0.1,0.3502,1.2689,-0.375,0.44,1.0937,-0.3699,0.3946,0.9839,-0.2831,0.1175,0.8277,-0.0302,0.4825,1.0059,-0.2815,0.5016,0.834,-0.2932,0.4157,0.7495,-0.2293,0.2878,0.6616,0.0302,0.57,0.7794,-0.1833,0.5845,0.6711,-0.2062,0.5257,0.615,-0.1746,3
19,0,0,0,-0.2545,0.3265,-0.0735,-0.3461,0.771,-0.0818,-0.2327,1.1168,-0.0756,-0.0947,1.3823,-0.0614,-0.2248,1.0454,0.0916,-0.2717,1.4527,-0.0841,-0.248,1.3514,-0.2375,-0.2337,1.1354,-0.3213,-0.013,0.9911,0.0804,-0.0212,1.236,-0.1305,-0.0831,0.9354,-0.2686,-0.1482,0.6665,-0.3171,0.1938,0.8877,0.031,0.1701,1.0839,-0.1797,0.0641,0.7613,-0.2283,-0.0151,0.5105,-0.2006,0.3908,0.7486,-0.031,0.326,0.9193,-0.1593,0.2205,0.6985,-0.1669,0.1581,0.5133,-0.1268,3
19,0,0,0,-0.2359,0.3156,-0.0822,-0.3241,0.7833,-0.0827,-0.2133,1.1494,-0.0698,-0.0724,1.4209,-0.0494,-0.2167,1.0532,0.0868,-0.2483,1.4799,-0.083,-0.2219,1.3745,-0.2357,-0.2046,1.1565,-0.3194,-0.0113,0.9912,0.0792,0.0085,1.2534,-0.1305,-0.056,0.9183,-0.2682,-0.1199,0.6447,-0.31,0.1928,0.874,0.0308,0.2069,1.0987,-0.1771,0.0863,0.7611,-0.2275,-0.0045,0.5107,-0.1972,0.3886,0.7206,-0.0308,0.3709,0.927,-0.1528,0.2541,0.7065,-0.167,0.1743,0.5249,-0.132,3
20,0,0,0,-0.28,0.2011,-0.1452,-0.4378,0.549,-0.1597,-0.381,0.8341,-0.1664,-0.2448,1.0129,-0.1919,-0.2529,1.0128,0.0638,-0.3388,1.4588,-0.0211,-0.4378,1.7639,-0.104,-0.5411,1.9793,-0.1606,-0.0092,0.9938,0.0686,0.0428,1.3196,-0.103,0.0266,1.1353,-0.243,-0.0227,0.9129,-0.3117,0.2009,0.8973,0.0342,0.2148,1.1462,-0.1334,0.1596,0.9401,-0.1618,0.0998,0.7328,-0.1459,0.3734,0.7391,-0.0342,0.3785,0.9201,-0.1486,0.314,0.7695,-0.1498,0.2565,0.6108,-0.123,3
20,0,0,0,-0.2361,0.2884,-0.1866,-0.399,0.6471,-0.3067,-0.3976,0.961,-0.4025,-0.2315,1.1992,-0.4362,-0.2197,1.0031,0.0817,-0.1605,1.3493,-0.1113,-0.1171,1.2996,-0.322,-0.0842,1.1805,-0.4318,-0.0185,0.9894,0.0953,0.1298,1.5372,0.0543,0.2061,1.8606,-0.0187,0.2891,2.1217,-0.0349,0.1762,0.8759,0.0415,0.2638,1.2326,-0.1045,0.1312,1.1478,-0.259,0.0345,1.0161,-0.3185,0.3555,0.7035,-0.0415,0.3377,0.9811,-0.1351,0.1918,0.9472,-0.1838,0.0805,0.8612,-0.2002,3
21,0,0,0,-0.2223,0.2963,-0.09,-0.2781,0.731,-0.0879,-0.1072,1.0242,-0.0684,0.1017,1.1852,-0.0467,-0.2312,1.0174,0.0999,-0.2548,1.3892,-0.0734,-0.2265,1.2005,-0.2563,-0.202,0.9739,-0.3531,-0.0156,0.9881,0.0911,0.015,1.4327,-0.0647,-0.0226,1.215,-0.2111,-0.0623,0.9587,-0.259,0.1965,0.8851,0.0368,0.2094,1.0865,-0.1719,0.0848,0.7575,-0.2678,-0.0132,0.511,-0.2554,0.3937,0.7383,-0.0368,0.3595,0.8944,-0.1408,0.2429,0.6531,-0.1583,0.1679,0.464,-0.125,3
21,0,0,0,-0.2306,0.3154,-0.087,-0.2759,0.7909,-0.069,-0.0805,1.0855,-0.0365,0.1467,1.2233,-0.0096,-0.2289,1.026,0.0963,-0.2403,1.418,-0.0652,-0.2161,1.2481,-0.2413,-0.1992,1.0087,-0.3407,-0.0133,0.9891,0.0861,0.0233,1.4633,-0.0669,-0.0104,1.2534,-0.2107,-0.055,0.9727,-0.2624,0.201,0.8831,0.0345,0.2098,1.1164,-0.1698,0.0915,0.7913,-0.2594,-0.012,0.5275,-0.2486,0.399,0.739,-0.0345,0.3657,0.9329,-0.1365,0.2491,0.689,-0.1505,0.1649,0.4835,-0.1197,3
22,0,0,0,-0.2357,0.5162,-0.021,-0.3726,1.0499,-0.2372,-0.3969,1.4576,-0.5605,-0.36,1.8221,-0.8245,-0.2348,1.1554,0.1239,-0.2867,1.779,-0.1918,-0.2714,2.1699,-0.4566,-0.2598,2.4533,-0.6924,-0.0185,0.9687,0.1287,0.0444,1.5282,-0.4191,0.0709,1.846,-0.8067,0.1099,2.0863,-1.0628,0.1894,0.8107,0.0553,0.272,1.3268,-0.5115,0.2511,1.5655,-0.8399,0.2399,1.7277,-1.0384,0.3709,0.7006,-0.0553,0.4563,1.0949,-0.5024,0.4284,1.2424,-0.7289,0.403,1.338,-0.8611,3
22,0,0,0,-0.2698,0.3541,-0.1243,-0.3902,0.7417,-0.3837,-0.4095,1.0208,-0.6946,-0.3842,1.2717,-0.9266,-0.2494,1.1074,0.0633,-0.3923,1.5941,-0.1904,-0.4859,1.8496,-0.4227,-0.5679,2.0314,-0.6221,-0.009,0.9823,0.1039,0.0138,1.472,-0.4804,0.012,1.6037,-0.8121,0.0123,1.6736,-0.9571,0.2164,0.8629,0.049,0.238,1.3202,-0.5695,0.1702,1.4015,-0.8487,0.1088,1.4212,-0.9532,0.3897,0.7806,-0.049,0.3769,1.1519,-0.5194,0.2814,1.2591,-0.7329,0.1934,1.3167,-0.8335,3
23,0,0,0,-0.2239,0.3014,-0.2284,-0.2264,0.606,-0.2975,0.057,0.8033,-0.3401,0.3287,0.8832,-0.4021,-0.2346,1.0221,-0.0104,-0.1516,1.4775,-0.0581,-0.0895,1.7661,-0.1267,-0.0337,2.0072,-0.1737,0.0008,0.9989,0.0323,0.0742,1.4559,0.0023,0.1336,1.7812,-0.0607,0.1689,2.0644,-0.0965,0.1988,0.9025,0.0238,0.2761,1.3256,-0.0139,0.3151,1.6141,-0.0771,0.3293,1.8688,-0.106,0.377,0.7542,-0.0238,0.4557,1.0827,-0.08,0.4821,1.3116,-0.1127,0.4886,1.5186,-0.1202,3
23,0,0,0,-0.2235,0.2663,-0.2464,-0.249,0.5799,-0.3152,0.0441,0.8013,-0.3574,0.3346,0.8856,-0.4364,-0.2422,1.011,-0.0205,-0.1684,1.4947,-0.049,-0.1044,1.7941,-0.0995,-0.0462,2.0478,-0.128,0.0015,0.999,0.0305,0.0715,1.4993,0.0278,0.1272,1.8336,-0.0064,0.1642,2.1278,-0.0157,0.2026,0.9138,0.0253,0.282,1.3608,0.0161,0.3148,1.6535,-0.0174,0.3309,1.9082,-0.0226,0.3927,0.7789,-0.0253,0.4777,1.1123,-0.0563,0.505,1.3401,-0.0696,0.5174,1.5433,-0.0628,3
24,0,0,0,-0.2024,0.3335,-0.1102,-0.1923,0.7301,-0.1432,0.0189,0.8896,-0.1631,0.198,0.8193,-0.1631,-0.2129,1.0619,0.0349,-0.0893,1.2386,-0.0918,0.0373,1.1246,-0.2146,0.1164,0.9273,-0.2758,-0.0027,0.9983,0.0383,0.1253,1.2707,-0.0965,0.2342,1.1666,-0.2245,0.2905,0.947,-0.2741,0.1905,0.8828,0.0165,0.3082,1.1344,-0.0947,0.3882,1.073,-0.1862,0.4196,0.8866,-0.212,0.3643,0.7213,-0.0165,0.4153,0.9244,-0.097,0.4476,0.9488,-0.1425,0.4662,0.8739,-0.1519,3
24,0,0,0,-0.2062,0.3308,-0.109,-0.2046,0.7089,-0.1467,0.0131,0.8802,-0.1726,0.2016,0.8383,-0.1923,-0.2172,1.0511,0.0414,-0.1022,1.2483,-0.097,0.0327,1.1176,-0.2286,0.1123,0.903,-0.2981,-0.0038,0.9976,0.0452,0.1176,1.2795,-0.0874,0.2297,1.1539,-0.2096,0.2796,0.9246,-0.2628,0.1931,0.8891,0.02,0.301,1.1474,-0.0932,0.3752,1.0468,-0.1675,0.3963,0.8404,-0.1855,0.3724,0.7268,-0.02,0.4266,0.9449,-0.0972,0.4554,0.9675,-0.1268,0.4647,0.8931,-0.1266,3
